S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.4334404301560752
[0.0,1.0,0.0,0.0,0.0];0.5081151379478981
[0.0,0.0,1.0,0.0,0.0];0.2758159307000352
[0.0,0.0,0.0,1.0,0.0];0.5241303455797716
[0.5,0.0,0.0,0.5,0.0];0.6205853479385846
[0.5,0.0,0.5,0.0,0.0];0.3941412497762046
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.6457732244723511
[0.2,0.2,0.2,0.2,0.2];0.649386643337976
[0.5,0.0,0.0,0.0,0.5];0.652248961949516
[0.0,0.0,0.0,0.0,1.0];0.5749879541927809
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6139362187857944
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.6542845294526061
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.6675531123005443
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6351861570843135
smart L2O & RB [10];0.6659359313144217
