S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6750254545081229
[0.0,1.0,0.0,0.0,0.0];0.536687379419676
[0.0,0.0,1.0,0.0,0.0];0.419266614078719
[0.0,0.0,0.0,1.0,0.0];0.5077853839315696
[0.5,0.0,0.0,0.5,0.0];0.6887931003386359
[0.5,0.0,0.5,0.0,0.0];0.6810747520165542
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.730135790609006
[0.2,0.2,0.2,0.2,0.2];0.7360830766576614
[0.5,0.0,0.0,0.0,0.5];0.7345256022056887
[0.0,0.0,0.0,0.0,1.0];0.6095949713353779
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6939668844088873
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7609529153785548
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7469156883415007
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6894486588672946
smart L2O & RB [10];0.7143156858593005
