S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.7497351525683458
[0.0,1.0,0.0,0.0,0.0];0.4966683546443103
[0.0,0.0,1.0,0.0,0.0];0.46123351842435956
[0.0,0.0,0.0,1.0,0.0];0.5142430441696255
[0.5,0.0,0.0,0.5,0.0];0.7221289483927116
[0.5,0.0,0.5,0.0,0.0];0.6928238940713468
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7927616743938252
[0.2,0.2,0.2,0.2,0.2];0.7821767320444002
[0.5,0.0,0.0,0.0,0.5];0.7730294307366063
[0.0,0.0,0.0,0.0,1.0];0.7103503691503772
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.7536045631438504
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7948612513734683
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7907374143844595
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.73705405900038
smart L2O & RB [10];0.7651533727344377
