S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6615655984351508
[0.0,1.0,0.0,0.0,0.0];0.45096182184426126
[0.0,0.0,1.0,0.0,0.0];0.37963605004844964
[0.0,0.0,0.0,1.0,0.0];0.42057947692900033
[0.5,0.0,0.0,0.5,0.0];0.6435110982490779
[0.5,0.0,0.5,0.0,0.0];0.6508866587139646
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7212959951259532
[0.2,0.2,0.2,0.2,0.2];0.7116001524578269
[0.5,0.0,0.0,0.0,0.5];0.7137479762000947
[0.0,0.0,0.0,0.0,1.0];0.600079823153685
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6601014278449244
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7320418221472127
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7205061790712253
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6882860806593218
smart L2O & RB [10];0.7293550941153226
