S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6881945255898996
[0.0,1.0,0.0,0.0,0.0];0.44546920335691653
[0.0,0.0,1.0,0.0,0.0];0.3846071085594217
[0.0,0.0,0.0,1.0,0.0];0.46485769146105194
[0.5,0.0,0.0,0.5,0.0];0.7006048864692092
[0.5,0.0,0.5,0.0,0.0];0.6711802212292916
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7343857943555585
[0.2,0.2,0.2,0.2,0.2];0.7228003142837887
[0.5,0.0,0.0,0.0,0.5];0.727964755518104
[0.0,0.0,0.0,0.0,1.0];0.6663628158637532
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6876326139474345
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.746172088537835
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7586447874067653
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.7347655852077029
smart L2O & RB [10];0.7507862403548942
