S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6888182715293436
[0.0,1.0,0.0,0.0,0.0];0.5452332807395295
[0.0,0.0,1.0,0.0,0.0];0.4197190273654277
[0.0,0.0,0.0,1.0,0.0];0.541643141317961
[0.5,0.0,0.0,0.5,0.0];0.6961071291852013
[0.5,0.0,0.5,0.0,0.0];0.6422820162186358
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.6970438719147696
[0.2,0.2,0.2,0.2,0.2];0.7466107081179296
[0.5,0.0,0.0,0.0,0.5];0.7222914336895824
[0.0,0.0,0.0,0.0,1.0];0.6210525629489692
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.706235476689836
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.753149910742031
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7327947986702203
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6984765377151066
smart L2O & RB [10];0.74919578046878
